ID,Long_start,Lat_start,Long_end,Lat_end,Length,Speed
33,104.1472874,30.64296083,104.1463315,30.64059106,278.1529173,40.83333333
34,104.1472874,30.64296083,104.1496059,30.64216205,239.1655126,16.5
35,103.9826185,30.61386248,103.9776869,30.61166959,531.5645307,34.55454545
36,103.9826185,30.61386248,103.9816494,30.60279961,1229.628076,31.54583333
37,103.9826185,30.61386248,103.9851381,30.61499377,272.1300849,31.38977273
38,104.0612402,30.59666547,104.0613987,30.59376339,321.9945508,31.525
39,104.0612402,30.59666547,104.0578933,30.59668669,320.8957553,34.55
40,104.0612402,30.59666547,104.0612128,30.60054761,430.2623322,39.45
41,104.1323295,30.59740351,104.1360359,30.59511501,436.5838356,46.63333333
42,104.1323295,30.59740351,104.1354405,30.60123549,518.9610531,46.075
43,104.1323295,30.59740351,104.1246492,30.60216894,906.1380717,44.5875
44,104.149224,30.61054808,104.1463549,30.60674406,503.3719165,21.75
45,104.149224,30.61054808,104.1526212,30.6089618,370.0824554,54.55
46,104.149224,30.61054808,104.1381502,30.61375537,1119.4482,55.325
47,103.9525507,30.75675243,103.9613727,30.75254195,964.822029,42.78
48,103.9525507,30.75675243,103.9619529,30.76609451,1371.854501,42.78
49,104.0530243,30.75790039,104.0481228,30.7539247,643.6417399,53.425
50,104.0530243,30.75790039,104.0666187,30.74499537,1933.671041,35.7
51,104.0530243,30.75790039,104.0507089,30.76141245,447.9160573,35.86666667
52,104.0730086,30.74887448,104.0666187,30.74499537,747.6592605,52.73333333
53,104.0730086,30.74887448,104.0726375,30.72578859,2558.887309,47.7
54,104.1588451,30.73807002,104.1462028,30.72511547,1877.861688,54.8775
55,104.1588451,30.73807002,104.1609358,30.72308424,1672.884115,40.53333333
56,104.1588451,30.73807002,104.1675722,30.75834783,2397.625728,46.805
57,103.9717958,30.70900484,103.9754957,30.69767357,1304.912095,36.675
58,103.9717958,30.70900484,103.979059,30.71243403,792.6168708,33.45
59,103.9717958,30.70900484,103.966997,30.71641552,941.1702069,32.9
60,104.040111,30.71551717,104.0404398,30.71284378,297.9644774,23.4
61,104.040111,30.71551717,104.045209,30.71599628,491.0600093,27.03214286
62,104.0773952,30.69705062,104.0742895,30.69705339,297.4541047,48.52916667
63,104.0773952,30.69705062,104.0787152,30.69703746,126.4330825,36.07142857
64,104.0773952,30.69705062,104.0773157,30.70282784,640.3378561,48.9
65,104.1847307,30.69654394,104.184379,30.69224823,477.2751353,37.975
66,104.1847307,30.69654394,104.1769595,30.69629187,744.8007551,35.925
67,104.1847307,30.69654394,104.1857165,30.70246353,662.8173793,40.55
68,103.963491,30.66467205,103.9625424,30.65991764,534.7262649,34.26666667
69,103.963491,30.66467205,103.9748388,30.66471229,1087.243613,14.66666667
70,104.0120406,30.64390586,104.0085096,30.64330149,344.9470654,26.01111111
71,104.0120406,30.64390586,104.0136529,30.64204591,257.6165547,48.05
72,104.0120406,30.64390586,104.0143642,30.64454912,233.7971718,25.55277778
73,104.0120406,30.64390586,104.0114083,30.64760226,414.1344437,21.01428571
74,104.0860338,30.64221009,104.0850152,30.64157585,120.2890328,20.82
75,104.0860338,30.64221009,104.0863831,30.64181519,55.09816775,39.05
76,104.0860338,30.64221009,104.0857848,30.64258043,47.47870099,20.82
77,104.0860338,30.64221009,104.0875368,30.6431534,177.9770438,34
78,104.1747682,30.65471347,104.1749113,30.65114609,395.6032631,29.25
79,104.1747682,30.65471347,104.1831593,30.65487167,804.1917262,15.95
80,104.1747682,30.65471347,104.1571519,30.65730466,1712.154667,27.7
81,104.1747682,30.65471347,104.1748633,30.65937538,516.7491094,36.75
82,103.9776869,30.61166959,103.9721097,30.60924975,598.1445228,30.75
83,103.9776869,30.61166959,103.972055,30.62091828,1158.521852,45.55
84,104.064657,30.61877337,104.0600781,30.61857201,439.4701222,44.5
85,104.064657,30.61877337,104.0646499,30.61653136,248.4815623,49.75
86,104.064657,30.61877337,104.0695764,30.61879884,471.5487556,30.74285714
87,104.064657,30.61877337,104.0645381,30.62255535,419.311019,73.5125
88,104.0705271,30.5936291,104.0684365,30.59321293,205.6812406,36.23928571
89,104.0705271,30.5936291,104.0720858,30.59244763,198.6988912,27.515
90,104.0705271,30.5936291,104.070717,30.59686374,358.9538853,31.87714286
91,104.1427297,30.60890084,104.1392625,30.60626466,442.5338513,34.54583333
92,104.1427297,30.60890084,104.1463549,30.60674406,421.783258,35.575
93,104.1427297,30.60890084,104.1369858,30.61186495,641.1616517,21.75
94,103.9354466,30.74137286,103.9313093,30.70607506,3932.226913,42.92
95,103.9354466,30.74137286,103.9540216,30.72742297,2356.527401,74.6125
96,103.9354466,30.74137286,103.9412759,30.75449343,1557.607396,74.435
97,104.0422933,30.7410774,104.0400009,30.74081135,221.4271661,58.45
98,104.0422933,30.7410774,104.0434242,30.733702,824.5702416,54.43333333
99,104.0422933,30.7410774,104.0489107,30.74097516,633.6067313,47.3
100,104.0422933,30.7410774,104.042756,30.74664014,618.1188471,61.56666667
101,104.1146272,30.76027681,104.1054866,30.72778795,3705.554474,38.26
102,104.1146272,30.76027681,104.127086,30.77857558,2352.605615,42.2
103,104.1675722,30.75834783,104.190672,30.73707999,3231.919547,40.23107143
104,104.1675722,30.75834783,104.1374701,30.77433248,3382.064279,46.805
105,103.9945272,30.71275996,103.9917914,30.7107053,347.1260675,32.2
106,103.9945272,30.71275996,103.9980882,30.70975652,476.5458367,38.89
107,103.9945272,30.71275996,103.9922205,30.71446713,290.8539716,51.5
108,104.0557493,30.71706744,104.0517543,30.71381514,525.6174909,39.65
109,104.0557493,30.71706744,104.0579489,30.71528136,289.0479444,24.125
110,104.0557493,30.71706744,104.0496414,30.7228819,870.2509514,26.625
111,104.0894112,30.69807885,104.0869352,30.69443168,468.6458284,34.95
112,104.0894112,30.69807885,104.1056755,30.69638434,1568.99986,11.03333333
113,104.0894112,30.69807885,104.0921312,30.70228545,534.061291,57.43333333
114,104.1766587,30.70212293,104.1692364,30.7015895,713.2862675,30.7
115,104.1766587,30.70212293,104.1769595,30.69629187,646.8891553,36.1
116,104.1766587,30.70212293,104.1857165,30.70246353,868.2777382,33.4
117,103.9895242,30.6706359,103.9894492,30.66832512,256.210622,10.5
118,103.9895242,30.6706359,103.9917117,30.6703629,211.7407755,46.6
119,103.9895242,30.6706359,103.9882345,30.67074127,124.1066729,25.55
120,104.0136726,30.6339832,104.0191596,30.62797015,848.9314547,36.05
121,104.0136726,30.6339832,104.0160584,30.63558542,289.5094766,32.82916667
122,104.0136726,30.6339832,104.0122447,30.63565466,230.317022,31.22708333
123,104.110012,30.64971387,104.1079039,30.64564358,494.2698699,73.45
124,104.110012,30.64971387,104.1133584,30.64805452,369.6500203,40.23333333
125,104.110012,30.64971387,104.1061061,30.65160594,429.010321,20.815
126,104.110012,30.64971387,104.1119814,30.653166,426.6043255,64
127,104.1749113,30.65114609,104.1720131,30.64867986,389.6542203,30.8
128,104.1749113,30.65114609,104.1827765,30.65238351,766.0010004,27.8
129,103.9967302,30.59844508,103.9910119,30.59474494,684.6502382,33.3
130,103.9967302,30.59844508,103.9997597,30.58962127,1020.176889,33.9
131,103.9967302,30.59844508,103.9992457,30.60127686,395.8115907,33.9
132,103.9967302,30.59844508,103.9938473,30.60135673,424.8850094,33.9
133,104.0579082,30.60063219,104.0578933,30.59668669,437.27896,32.525
134,104.0579082,30.60063219,104.0612128,30.60054761,316.9564225,39.025
135,104.0579082,30.60063219,104.0551975,30.60075578,260.2348094,43.5
136,104.0579082,30.60063219,104.0578993,30.60270356,229.5704148,54.4
137,104.0737429,30.60663216,104.0716051,30.60650411,205.4299773,28.6375
138,104.0737429,30.60663216,104.0736856,30.60409951,280.7455374,14.1
139,104.0737429,30.60663216,104.0749288,30.6065838,113.8159393,55.0375
140,104.1450214,30.58450522,104.1409451,30.59204616,922.6154733,36.63333333
141,103.9564943,30.7450801,103.9650646,30.73928236,1042.151102,32.55
